Price per meter,Bedrooms,Bathrooms,Floor,Year Built,Area in m²,Payment Method_Cash or Installments,Payment Method_Installments,Seller Type_Compound Developer,Seller Type_Developer,Seller Type_Private Owner,View_0,View_1,View_2,View_3,Governorate_0,Governorate_1,Governorate_2,Governorate_3,Governorate_4
0.0,0.0,0.0,-1.19897784671579,0.33333327922114303,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1
-0.7079350144601412,0.0,1.0,-1.19897784671579,-2.3379499909309502,1.591645011662603,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
-1.1074392544941563,0.0,0.0,1.19897784671579,0.0,0.7218120822488783,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
-0.05342241883229921,-2.40942083965321,-1.40942083965321,-1.19897784671579,0.33333327922114303,-1.8446850347858097,1.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,0
0.8799095152995102,0.0,0.0,0.0,0.6665021523792793,0.7824122676634783,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
0.3319201853780136,0.0,1.0,0.0,0.999506781570994,0.016387458712960913,0.0,1.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
-0.1295256372962738,-2.40942083965321,-1.40942083965321,-1.19897784671579,0.0,-1.8446850347858097,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
0.17902081573444037,-2.40942083965321,-1.40942083965321,-0.4425070493497601,0.0,-1.9876992091025816,1.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,0
0.0589449657693037,-1.0,-1.40942083965321,0.0,-10.75445404669658,-1.2325987553189985,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
-0.07666742518368762,-2.40942083965321,-1.40942083965321,0.0,0.33333327922114303,-1.8101907177778742,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,1,0
-0.22013322983081052,-1.0,-1.40942083965321,-0.4425070493497601,0.0,-0.5298723470977463,1.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,0
-1.5768085129236873,0.0,-1.40942083965321,0.9247041696625747,-0.3334978476207207,-0.4894402372864567,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
0.1616488504981652,-1.0,0.0,0.31396374801627,0.999506781570994,-0.9032698193531908,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
0.16024752862083705,-2.40942083965321,-1.40942083965321,-1.19897784671579,0.6665021523792793,-2.0247871781135403,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
0.0,0.0,0.0,-1.19897784671579,0.999506781570994,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
-0.31086525487578276,0.0,1.0,0.0,0.0,0.24996600751463646,0.0,1.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
0.5247775030124756,-1.0,0.0,-0.4425070493497601,0.33333327922114303,-0.10067942642641634,0.0,1.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1
-0.5880941881793054,0.0,1.0,0.0,0.33333327922114303,0.09673018064681135,1.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,1
-1.4890820691918678,0.0,1.0,-0.4425070493497601,-1.6691381772507001,1.7177186315790829,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1
-0.9078186043212978,-1.0,-1.40942083965321,1.0704345453822999,-1.6691381772507001,-0.8562911901449457,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1
-1.8180926661876193,-1.0,-1.40942083965321,0.0,0.0,-0.975459464565041,0.0,0.0,0.0,0.0,1.0,1,0,0,1,0,0,1,0,1
-1.4890820691918678,0.0,1.0,0.75647079736603,-0.3334978476207207,-0.4894402372864567,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
-0.5508818063683834,0.0,0.0,0.0,0.0,1.3660487725091286,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1
-0.7673413709471566,0.0,1.0,-0.4425070493497601,0.999506781570994,-0.06666090829376342,1.0,0.0,0.0,1.0,0.0,0,0,1,1,0,0,0,0,1
-0.8230244136866883,-1.0,-1.40942083965321,0.75647079736603,-1.0009878986077079,-0.8562911901449457,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1
0.3242062460168403,0.0,0.0,-1.19897784671579,1.3323473286522867,-0.44966028678679076,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
0.14636801789635104,-2.40942083965321,-1.40942083965321,0.55749295065024,0.0,-2.474447464900331,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0
